fact_pk,sprint_pk,team_pk,committed_story_points_completed,committed_story_points,story_points_completed,story_points_committed_at_start,avg_velocity_3_sprints,avg_velocity_4_sprints,story_points_added_during_sprint,story_points_removed_during_sprint,story_points_modified_scope,stories_with_modified_estimate,stories_completed,stories_estimated,total_stories
349,1,37,7,10,11,10,9.00,8.50,1,0,0,0,1,1,1
350,1,38,5,8,9,8,7.00,6.50,2,0,0,0,1,1,1
351,1,39,3,6,7,6,5.00,4.50,1,0,0,0,1,1,1
352,1,40,1,4,5,4,3.00,2.50,2,0,0,0,1,1,1
353,1,41,12,14,15,14,13.00,12.50,2,0,0,0,2,2,2
354,1,42,10,13,14,13,12.00,11.50,1,0,0,0,2,2,2
355,1,43,8,11,12,11,10.00,9.50,2,0,0,0,1,1,1
356,1,44,6,9,10,9,8.00,7.50,1,0,0,0,1,1,1
357,1,45,9,12,13,12,11.00,10.50,2,0,1,0,2,2,2
358,1,46,7,10,11,10,9.00,8.50,1,0,0,0,2,2,2
359,1,47,11,13,14,13,12.00,11.50,2,0,0,0,2,2,2
360,1,48,9,12,13,12,11.00,10.50,1,0,0,0,2,2,2
361,1,49,7,10,11,10,9.00,8.50,2,0,0,0,1,1,1
362,1,50,5,8,9,8,7.00,6.50,1,0,0,0,1,1,1
363,1,51,13,15,16,15,14.00,13.50,2,0,0,0,2,2,2
364,1,52,11,14,15,14,13.00,12.50,1,0,0,0,2,2,2
365,1,53,9,12,13,12,11.00,10.50,2,0,0,0,1,1,1
366,1,54,14,16,17,16,15.00,14.50,2,0,0,0,2,2,2
367,1,55,12,15,16,15,14.00,13.50,1,0,0,0,2,2,2
368,1,56,10,13,14,13,12.00,11.50,2,0,0,0,2,2,2
369,1,57,8,11,12,11,10.00,9.50,1,0,0,0,1,1,1
370,1,58,6,9,10,9,8.00,7.50,2,0,0,0,1,1,1
371,1,59,4,7,8,7,6.00,5.50,1,0,0,0,1,1,1
372,1,60,11,14,15,14,13.00,12.50,2,0,0,0,2,2,2
373,1,61,9,12,13,12,11.00,10.50,1,0,0,0,2,2,2
374,1,62,7,10,11,10,9.00,8.50,2,0,0,0,1,1,1
375,1,63,5,8,9,8,7.00,6.50,1,0,0,0,1,1,1
376,1,64,3,6,7,6,5.00,4.50,2,0,0,0,1,1,1
377,1,65,1,4,5,4,3.00,2.50,1,0,0,0,1,1,1
378,1,66,12,14,15,14,13.00,12.50,2,0,0,0,2,2,2
379,1,67,10,13,14,13,12.00,11.50,1,0,0,0,2,2,2
380,1,68,8,11,12,11,10.00,9.50,2,0,0,0,1,1,1
381,1,69,6,9,10,9,8.00,7.50,1,0,0,0,1,1,1
382,1,70,9,12,13,12,11.00,10.50,2,0,1,0,2,2,2
383,1,71,7,10,11,10,9.00,8.50,1,0,0,0,2,2,2
384,1,72,11,13,14,13,12.00,11.50,2,0,0,0,2,2,2
385,1,73,9,12,13,12,11.00,10.50,1,0,0,0,2,2,2
386,1,74,7,10,11,10,9.00,8.50,2,0,0,0,1,1,1
387,1,75,5,8,9,8,7.00,6.50,1,0,0,0,1,1,1
388,1,76,3,6,7,6,5.00,4.50,2,0,0,0,1,1,1
389,1,77,13,15,16,15,14.00,13.50,2,0,0,0,2,2,2
390,1,78,11,14,15,14,13.00,12.50,1,0,0,0,2,2,2
391,2,1,19,20,22,20,19.00,18.50,3,0,0,0,3,3,3
392,2,2,17,18,19,18,17.00,16.50,2,0,0,0,2,2,2
393,2,3,15,16,17,16,15.00,14.50,1,0,0,0,2,2,2
394,2,4,11,15,17,15,14.00,13.50,4,0,2,1,2,2,2
395,2,5,9,14,16,14,13.00,12.50,3,0,1,0,2,2,2
396,2,6,7,12,12,12,11.00,10.50,1,0,0,0,2,2,2
397,2,7,5,10,10,10,9.00,8.50,0,0,0,0,1,1,1
398,2,8,6,8,9,8,7.00,6.50,2,0,0,0,1,1,1
399,2,9,7,9,10,9,8.00,7.50,1,0,0,0,1,1,1
400,2,10,5,7,7,7,6.00,5.50,0,0,0,0,1,1,1
401,2,11,4,6,6,6,5.00,4.50,0,0,0,0,1,1,1
402,2,12,9,12,15,12,11.00,10.50,5,1,3,1,2,2,2
403,2,13,8,11,14,11,10.00,9.50,4,0,2,0,2,2,2
404,2,14,16,17,19,17,16.00,15.50,3,0,0,0,2,2,2
405,2,15,14,15,17,15,14.00,13.50,2,0,0,0,2,2,2
406,2,16,12,13,15,13,12.00,11.50,3,0,0,0,2,2,2
407,2,17,10,12,14,12,11.00,10.50,2,0,0,0,2,2,2
408,2,18,8,10,12,10,9.00,8.50,3,0,0,0,1,1,1
409,2,19,6,8,10,8,7.00,6.50,2,0,0,0,1,1,1
410,2,20,13,14,16,14,13.00,12.50,3,0,0,0,2,2,2
411,2,21,11,13,15,13,12.00,11.50,2,0,0,0,2,2,2
412,2,22,9,11,13,11,10.00,9.50,3,0,0,0,1,1,1
413,2,23,7,9,11,9,8.00,7.50,2,0,0,0,1,1,1
414,2,24,10,12,14,12,11.00,10.50,3,0,2,0,2,2,2
415,2,25,8,10,12,10,9.00,8.50,2,0,0,0,2,2,2
416,2,26,15,16,18,16,15.00,14.50,3,0,0,0,2,2,2
417,2,27,13,15,17,15,14.00,13.50,2,0,0,0,2,2,2
418,2,28,11,13,15,13,12.00,11.50,3,0,0,0,2,2,2
419,2,29,9,11,13,11,10.00,9.50,2,0,0,0,1,1,1
420,2,30,7,9,11,9,8.00,7.50,3,0,0,0,1,1,1
421,2,31,12,14,16,14,13.00,12.50,3,0,0,0,2,2,2
422,2,32,10,12,14,12,11.00,10.50,2,0,0,0,2,2,2
423,2,33,8,10,12,10,9.00,8.50,3,0,0,0,1,1,1
424,2,34,14,15,17,15,14.00,13.50,3,0,0,0,2,2,2
425,2,35,12,14,16,14,13.00,12.50,2,0,0,0,2,2,2
426,2,36,10,12,14,12,11.00,10.50,3,0,0,0,1,1,1
427,2,37,8,10,12,10,9.00,8.50,2,0,0,0,1,1,1
428,2,38,6,8,10,8,7.00,6.50,3,0,0,0,1,1,1
429,2,39,4,6,8,6,5.00,4.50,2,0,0,0,1,1,1
430,2,40,2,4,6,4,3.00,2.50,3,0,0,0,1,1,1
431,2,41,13,14,16,14,13.00,12.50,3,0,0,0,2,2,2
432,2,42,11,13,15,13,12.00,11.50,2,0,0,0,2,2,2
433,2,43,9,11,13,11,10.00,9.50,3,0,0,0,1,1,1
434,2,44,7,9,11,9,8.00,7.50,2,0,0,0,1,1,1
435,2,45,10,12,14,12,11.00,10.50,3,0,2,0,2,2,2
436,2,46,8,10,12,10,9.00,8.50,2,0,0,0,2,2,2
437,2,47,12,13,15,13,12.00,11.50,3,0,0,0,2,2,2
438,2,48,10,12,14,12,11.00,10.50,2,0,0,0,2,2,2
439,2,49,8,10,12,10,9.00,8.50,3,0,0,0,1,1,1
440,2,50,6,8,10,8,7.00,6.50,2,0,0,0,1,1,1
441,2,51,14,15,17,15,14.00,13.50,3,0,0,0,2,2,2
442,2,52,12,14,16,14,13.00,12.50,2,0,0,0,2,2,2
443,2,53,10,12,14,12,11.00,10.50,3,0,0,0,1,1,1
444,2,54,15,16,18,16,15.00,14.50,3,0,0,0,2,2,2
445,2,55,13,15,17,15,14.00,13.50,2,0,0,0,2,2,2
446,2,56,11,13,15,13,12.00,11.50,3,0,0,0,2,2,2
447,2,57,9,11,13,11,10.00,9.50,2,0,0,0,1,1,1
448,2,58,7,9,11,9,8.00,7.50,3,0,0,0,1,1,1
449,2,59,5,7,9,7,6.00,5.50,2,0,0,0,1,1,1
450,2,60,12,14,16,14,13.00,12.50,3,0,0,0,2,2,2
451,2,61,10,12,14,12,11.00,10.50,2,0,0,0,2,2,2
452,2,62,8,10,12,10,9.00,8.50,3,0,0,0,1,1,1
453,2,63,6,8,10,8,7.00,6.50,2,0,0,0,1,1,1
454,2,64,4,6,8,6,5.00,4.50,3,0,0,0,1,1,1
455,2,65,2,4,6,4,3.00,2.50,2,0,0,0,1,1,1
456,2,66,13,14,16,14,13.00,12.50,3,0,0,0,2,2,2
457,2,67,11,13,15,13,12.00,11.50,2,0,0,0,2,2,2
458,2,68,9,11,13,11,10.00,9.50,3,0,0,0,1,1,1
459,2,69,7,9,11,9,8.00,7.50,2,0,0,0,1,1,1
460,2,70,10,12,14,12,11.00,10.50,3,0,2,0,2,2,2
461,2,71,8,10,12,10,9.00,8.50,2,0,0,0,2,2,2
462,2,72,12,13,15,13,12.00,11.50,3,0,0,0,2,2,2
463,2,73,10,12,14,12,11.00,10.50,2,0,0,0,2,2,2
464,2,74,8,10,12,10,9.00,8.50,3,0,0,0,1,1,1
465,2,75,6,8,10,8,7.00,6.50,2,0,0,0,1,1,1
466,2,76,4,6,8,6,5.00,4.50,3,0,0,0,1,1,1
467,2,77,14,15,17,15,14.00,13.50,3,0,0,0,2,2,2
468,2,78,12,14,16,14,13.00,12.50,2,0,0,0,2,2,2
469,3,1,17,20,21,20,19.00,18.50,3,1,1,1,3,3,3
470,3,2,16,20,20,20,19.00,18.50,1,0,1,1,3,3,3
471,3,3,20,20,22,20,19.00,18.50,1,1,0,0,3,3,3
472,3,4,11,15,18,15,14.00,13.50,3,0,3,0,2,2,2
473,3,5,13,15,17,15,14.00,13.50,2,0,1,1,2,2,2
474,3,6,9,12,12,12,11.00,10.50,2,0,2,0,2,2,2
475,3,7,7,12,12,12,11.00,10.50,1,0,0,0,2,2,2
476,3,8,9,10,11,10,8.00,7.50,0,0,2,0,2,2,2
477,3,9,7,10,11,10,8.00,7.50,1,0,0,0,2,2,2
478,3,10,5,7,7,7,6.00,5.50,0,1,2,0,2,2,2
479,3,11,5,7,7,7,6.00,5.50,0,1,0,0,2,2,2
480,3,12,9,12,12,12,11.00,10.50,3,0,0,0,2,2,2
481,3,13,11,12,14,12,11.00,10.50,2,1,2,0,2,2,2
482,3,14,9,12,12,12,10.00,9.50,1,0,0,0,1,1,1
483,3,15,13,12,14,12,10.00,9.50,0,0,0,0,1,1,1
484,3,16,9,12,14,12,10.00,9.50,1,0,0,0,1,1,1
485,3,17,11,12,13,12,10.00,9.50,1,0,0,0,1,1,1
486,3,18,10,12,13,12,10.00,9.50,1,0,0,0,1,1,1
487,3,19,7,12,13,12,10.00,9.50,3,0,0,0,1,1,1
488,3,20,12,12,13,12,10.00,9.50,3,0,0,0,1,1,1
489,3,21,11,12,13,12,10.00,9.50,3,0,0,0,1,1,1
490,3,22,10,12,14,12,10.00,9.50,2,0,0,0,1,1,1
491,3,23,8,12,14,12,10.00,9.50,3,0,0,0,1,1,1
492,3,24,7,12,13,12,10.00,9.50,2,0,0,0,1,1,1
493,3,25,11,12,15,12,10.00,9.50,2,0,0,0,1,1,1
494,3,26,10,12,13,12,10.00,9.50,2,0,0,0,1,1,1
495,3,27,6,12,14,12,10.00,9.50,0,0,0,0,1,1,1
496,3,28,13,12,13,12,10.00,9.50,0,0,0,0,1,1,1
497,3,29,12,12,13,12,10.00,9.50,0,0,0,0,1,1,1
498,3,30,7,12,14,12,10.00,9.50,3,0,0,0,1,1,1
499,3,31,8,12,14,12,10.00,9.50,3,0,0,0,1,1,1
500,3,32,14,12,14,12,10.00,9.50,0,0,0,0,1,1,1
501,3,33,11,12,14,12,10.00,9.50,2,0,0,0,1,1,1
502,3,34,9,12,12,12,10.00,9.50,2,0,0,0,1,1,1
503,3,35,7,12,13,12,10.00,9.50,1,0,0,0,1,1,1
504,3,36,7,12,14,12,10.00,9.50,2,0,0,0,1,1,1
505,3,37,9,12,14,12,10.00,9.50,1,0,0,0,1,1,1
506,3,38,12,12,14,12,10.00,9.50,2,0,0,0,1,1,1
507,3,39,12,12,14,12,10.00,9.50,1,0,0,0,1,1,1
508,3,40,8,12,13,12,10.00,9.50,0,0,0,0,1,1,1
509,3,41,14,12,14,12,10.00,9.50,0,0,0,0,1,1,1
510,3,42,7,12,13,12,10.00,9.50,1,0,0,0,1,1,1
511,3,43,10,12,15,12,10.00,9.50,0,0,0,0,1,1,1
512,3,44,12,12,15,12,10.00,9.50,3,0,0,0,1,1,1
513,3,45,8,12,12,12,10.00,9.50,2,0,0,0,1,1,1
514,3,46,8,12,14,12,10.00,9.50,1,0,0,0,1,1,1
515,3,47,13,12,15,12,10.00,9.50,2,0,0,0,1,1,1
516,3,48,7,12,13,12,10.00,9.50,2,0,0,0,1,1,1
517,3,49,13,12,12,12,10.00,9.50,1,0,0,0,1,1,1
518,3,50,13,12,14,12,10.00,9.50,0,0,0,0,1,1,1
519,3,51,7,12,14,12,10.00,9.50,3,0,0,0,1,1,1
520,3,52,9,12,15,12,10.00,9.50,0,0,0,0,1,1,1
521,3,53,11,12,14,12,10.00,9.50,0,0,0,0,1,1,1
522,3,54,7,12,13,12,10.00,9.50,2,0,0,0,1,1,1
523,3,55,8,12,13,12,10.00,9.50,2,0,0,0,1,1,1
524,3,56,10,12,14,12,10.00,9.50,1,0,0,0,1,1,1
525,3,57,7,12,13,12,10.00,9.50,2,0,0,0,1,1,1
526,3,58,6,12,14,12,10.00,9.50,3,0,0,0,1,1,1
527,3,59,13,12,14,12,10.00,9.50,2,0,0,0,1,1,1
528,3,60,6,12,14,12,10.00,9.50,1,0,0,0,1,1,1
529,3,61,8,12,15,12,10.00,9.50,2,0,0,0,1,1,1
530,3,62,8,12,13,12,10.00,9.50,2,0,0,0,1,1,1
531,3,63,10,12,14,12,10.00,9.50,2,0,0,0,1,1,1
532,3,64,9,12,15,12,10.00,9.50,2,0,0,0,1,1,1
533,3,65,8,12,13,12,10.00,9.50,2,0,0,0,1,1,1
534,3,66,13,12,14,12,10.00,9.50,1,0,0,0,1,1,1
535,3,67,13,12,13,12,10.00,9.50,1,0,0,0,1,1,1
536,3,68,7,12,14,12,10.00,9.50,3,0,0,0,1,1,1
537,3,69,8,12,13,12,10.00,9.50,3,0,0,0,1,1,1
538,3,70,8,12,15,12,10.00,9.50,2,0,0,0,1,1,1
539,3,71,14,12,15,12,10.00,9.50,0,0,0,0,1,1,1
540,3,72,7,12,15,12,10.00,9.50,0,0,0,0,1,1,1
541,3,73,8,12,13,12,10.00,9.50,0,0,0,0,1,1,1
542,3,74,11,12,14,12,10.00,9.50,3,0,0,0,1,1,1
543,3,75,6,12,13,12,10.00,9.50,2,0,0,0,1,1,1
544,3,76,12,12,13,12,10.00,9.50,0,0,0,0,1,1,1
545,3,77,7,12,15,12,10.00,9.50,2,0,0,0,1,1,1
546,3,78,9,12,14,12,10.00,9.50,2,0,0,0,1,1,1
547,27,1,19,22,22,22,20.00,19.00,3,1,3,1,3,3,3
548,27,2,20,22,23,22,20.00,19.00,2,0,0,0,3,3,3
549,27,3,20,22,25,22,20.00,19.00,2,1,1,1,3,3,3
550,27,4,12,16,19,16,15.00,14.00,2,1,0,1,2,2,2
551,27,5,14,16,18,16,15.00,14.00,0,1,0,1,2,2,2
552,27,6,5,10,10,10,9.00,8.00,0,0,2,1,2,2,2
553,27,7,4,10,10,10,9.00,8.00,2,0,0,1,2,2,2
554,27,8,12,12,15,12,9.00,8.50,1,1,0,0,2,2,2
555,27,9,8,12,13,12,9.00,8.50,2,0,0,0,2,2,2
556,27,10,6,8,8,8,7.00,6.50,0,0,4,0,2,2,2
557,27,11,5,8,8,8,7.00,6.50,0,1,4,0,2,2,2
558,27,12,15,14,16,14,12.00,11.00,2,0,0,0,2,2,2
559,27,13,12,14,15,14,12.00,11.00,0,0,1,0,2,2,2
560,27,14,11,13,16,13,11.00,10.00,1,0,0,0,1,1,1
561,27,15,8,13,15,13,11.00,10.00,3,0,0,0,1,1,1
562,27,16,10,13,16,13,11.00,10.00,2,0,0,0,1,1,1
563,27,17,7,13,14,13,11.00,10.00,1,0,0,0,1,1,1
564,27,18,8,13,16,13,11.00,10.00,3,0,0,0,1,1,1
565,27,19,12,13,15,13,11.00,10.00,2,0,0,0,1,1,1
566,27,20,15,13,15,13,11.00,10.00,3,0,0,0,1,1,1
567,27,21,12,13,14,13,11.00,10.00,2,0,0,0,1,1,1
568,27,22,10,13,14,13,11.00,10.00,1,0,0,0,1,1,1
569,27,23,13,13,14,13,11.00,10.00,3,0,0,0,1,1,1
570,27,24,11,13,14,13,11.00,10.00,0,0,0,0,1,1,1
571,27,25,14,13,13,13,11.00,10.00,0,0,0,0,1,1,1
572,27,26,12,13,14,13,11.00,10.00,1,0,0,0,1,1,1
573,27,27,7,13,15,13,11.00,10.00,1,0,0,0,1,1,1
574,27,28,14,13,14,13,11.00,10.00,1,0,0,0,1,1,1
575,27,29,10,13,15,13,11.00,10.00,1,0,0,0,1,1,1
576,27,30,15,13,16,13,11.00,10.00,0,0,0,0,1,1,1
577,27,31,14,13,14,13,11.00,10.00,3,0,0,0,1,1,1
578,27,32,12,13,14,13,11.00,10.00,1,0,0,0,1,1,1
579,27,33,14,13,14,13,11.00,10.00,2,0,0,0,1,1,1
580,27,34,8,13,14,13,11.00,10.00,1,0,0,0,1,1,1
581,27,35,13,13,15,13,11.00,10.00,3,0,0,0,1,1,1
582,27,36,12,13,15,13,11.00,10.00,0,0,0,0,1,1,1
583,27,37,9,13,15,13,11.00,10.00,3,0,0,0,1,1,1
584,27,38,10,13,15,13,11.00,10.00,1,0,0,0,1,1,1
585,27,39,9,13,13,13,11.00,10.00,2,0,0,0,1,1,1
586,27,40,12,13,15,13,11.00,10.00,1,0,0,0,1,1,1
587,27,41,8,13,15,13,11.00,10.00,0,0,0,0,1,1,1
588,27,42,13,13,14,13,11.00,10.00,1,0,0,0,1,1,1
589,27,43,8,13,15,13,11.00,10.00,2,0,0,0,1,1,1
590,27,44,11,13,15,13,11.00,10.00,0,0,0,0,1,1,1
591,27,45,8,13,16,13,11.00,10.00,1,0,0,0,1,1,1
592,27,46,10,13,16,13,11.00,10.00,2,0,0,0,1,1,1
593,27,47,11,13,15,13,11.00,10.00,3,0,0,0,1,1,1
594,27,48,8,13,15,13,11.00,10.00,3,0,0,0,1,1,1
595,27,49,13,13,13,13,11.00,10.00,2,0,0,0,1,1,1
596,27,50,14,13,14,13,11.00,10.00,2,0,0,0,1,1,1
597,27,51,7,13,15,13,11.00,10.00,2,0,0,0,1,1,1
598,27,52,13,13,16,13,11.00,10.00,2,0,0,0,1,1,1
599,27,53,13,13,14,13,11.00,10.00,1,0,0,0,1,1,1
600,27,54,8,13,14,13,11.00,10.00,1,0,0,0,1,1,1
601,27,55,8,13,16,13,11.00,10.00,3,0,0,0,1,1,1
602,27,56,10,13,14,13,11.00,10.00,1,0,0,0,1,1,1
603,27,57,12,13,14,13,11.00,10.00,2,0,0,0,1,1,1
604,27,58,12,13,15,13,11.00,10.00,1,0,0,0,1,1,1
605,27,59,13,13,14,13,11.00,10.00,0,0,0,0,1,1,1
606,27,60,8,13,14,13,11.00,10.00,2,0,0,0,1,1,1
607,27,61,12,13,16,13,11.00,10.00,2,0,0,0,1,1,1
608,27,62,13,13,13,13,11.00,10.00,0,0,0,0,1,1,1
609,27,63,15,13,14,13,11.00,10.00,0,0,0,0,1,1,1
610,27,64,13,13,14,13,11.00,10.00,0,0,0,0,1,1,1
611,27,65,9,13,13,13,11.00,10.00,2,0,0,0,1,1,1
612,27,66,11,13,15,13,11.00,10.00,2,0,0,0,1,1,1
613,27,67,13,13,14,13,11.00,10.00,2,0,0,0,1,1,1
614,27,68,8,13,15,13,11.00,10.00,0,0,0,0,1,1,1
615,27,69,7,13,13,13,11.00,10.00,0,0,0,0,1,1,1
616,27,70,8,13,15,13,11.00,10.00,0,0,0,0,1,1,1
617,27,71,7,13,14,13,11.00,10.00,2,0,0,0,1,1,1
618,27,72,12,13,15,13,11.00,10.00,1,0,0,0,1,1,1
619,27,73,13,13,15,13,11.00,10.00,1,0,0,0,1,1,1
620,27,74,13,13,15,13,11.00,10.00,0,0,0,0,1,1,1
621,27,75,8,13,16,13,11.00,10.00,2,0,0,0,1,1,1
622,27,76,11,13,13,13,11.00,10.00,3,0,0,0,1,1,1
623,27,77,8,13,14,13,11.00,10.00,2,0,0,0,1,1,1
624,27,78,12,13,16,13,11.00,10.00,2,0,0,0,1,1,1
625,4,1,21,21,24,21,20.00,19.50,1,0,4,0,3,3,3
626,5,1,22,22,23,22,21.00,20.50,1,0,3,1,3,3,3
627,6,1,20,20,21,20,19.00,18.50,1,0,0,1,3,3,3
628,7,1,16,21,22,21,20.00,19.50,0,0,3,0,3,3,3
629,8,1,22,22,25,22,21.00,20.50,3,0,2,0,3,3,3
630,9,1,20,20,21,20,19.00,18.50,4,0,3,0,3,3,3
631,10,1,18,21,24,21,20.00,19.50,2,0,3,1,3,3,3
632,11,1,21,22,24,22,21.00,20.50,3,0,3,1,3,3,3
633,12,1,20,20,21,20,19.00,18.50,0,0,0,0,3,3,3
634,13,1,18,21,21,21,20.00,19.50,1,0,2,0,3,3,3
635,14,1,17,22,25,22,21.00,20.50,0,0,0,1,3,3,3
636,15,1,18,20,21,20,19.00,18.50,3,0,1,0,3,3,3
637,16,1,20,21,23,21,20.00,19.50,1,1,1,1,3,3,3
638,17,1,19,22,26,22,21.00,20.50,1,0,2,0,3,3,3
639,18,1,18,20,21,20,19.00,18.50,4,0,2,0,3,3,3
640,19,1,17,21,21,21,20.00,19.50,0,0,3,0,3,3,3
641,20,1,20,22,24,22,21.00,20.50,4,0,0,1,3,3,3
642,21,1,17,20,22,20,19.00,18.50,2,0,1,1,3,3,3
643,22,1,21,21,21,21,20.00,19.50,2,0,2,0,3,3,3
644,23,1,17,22,22,22,21.00,20.50,2,0,0,0,3,3,3
645,24,1,16,20,23,20,19.00,18.50,3,0,1,0,3,3,3
646,25,1,20,21,24,21,20.00,19.50,3,1,5,0,3,3,3
647,26,1,21,22,25,22,21.00,20.50,2,0,0,0,3,3,3
648,28,1,22,21,22,21,20.00,19.50,4,1,4,0,3,3,3
649,29,1,17,22,24,22,21.00,20.50,1,1,4,1,3,3,3
650,30,1,16,20,22,20,19.00,18.50,1,1,2,0,3,3,3
651,31,1,21,21,24,21,20.00,19.50,2,0,0,0,3,3,3
652,32,1,20,22,22,22,21.00,20.50,0,0,2,1,3,3,3
653,33,1,16,20,23,20,19.00,18.50,1,0,3,1,3,3,3
654,34,1,17,21,24,21,20.00,19.50,0,0,2,0,3,3,3
655,35,1,18,22,25,22,21.00,20.50,3,1,0,0,3,3,3
656,36,1,19,20,20,20,19.00,18.50,2,0,3,0,3,3,3
657,37,1,20,21,23,21,20.00,19.50,4,1,0,0,3,3,3
658,38,1,18,22,24,22,21.00,20.50,4,1,3,0,3,3,3
659,39,1,16,20,23,20,19.00,18.50,1,0,3,1,3,3,3
660,40,1,19,21,23,21,20.00,19.50,2,0,0,1,3,3,3
661,41,1,21,22,23,22,21.00,20.50,3,0,3,1,3,3,3
662,42,1,18,20,22,20,19.00,18.50,2,0,0,0,3,3,3
663,43,1,19,21,22,21,20.00,19.50,4,1,0,1,3,3,3
664,44,1,22,22,24,22,21.00,20.50,3,0,2,0,3,3,3
665,45,1,18,20,21,20,19.00,18.50,2,0,4,1,3,3,3
666,46,1,17,21,23,21,20.00,19.50,1,0,4,1,3,3,3
667,47,1,21,22,23,22,21.00,20.50,1,0,0,0,3,3,3
668,48,1,17,20,21,20,19.00,18.50,0,0,0,0,3,3,3
669,49,1,21,21,21,21,20.00,19.50,4,0,1,0,3,3,3
670,50,1,22,22,26,22,21.00,20.50,3,1,5,0,3,3,3
671,51,1,20,20,21,20,19.00,18.50,4,1,2,1,3,3,3
672,52,1,19,21,23,21,20.00,19.50,4,0,4,1,3,3,3
673,4,2,20,21,23,21,20.00,19.50,1,0,4,0,3,3,3
674,5,2,19,22,25,22,21.00,20.50,3,1,1,1,3,3,3
675,6,2,19,20,23,20,19.00,18.50,2,0,3,0,3,3,3
676,7,2,20,21,25,21,20.00,19.50,1,0,3,1,3,3,3
677,8,2,21,22,22,22,21.00,20.50,1,0,3,1,3,3,3
678,9,2,21,20,22,20,19.00,18.50,1,0,1,1,3,3,3
679,10,2,20,21,21,21,20.00,19.50,0,0,5,1,3,3,3
680,11,2,19,22,24,22,21.00,20.50,2,1,0,1,3,3,3
681,12,2,20,20,21,20,19.00,18.50,1,0,1,0,3,3,3
682,13,2,21,21,23,21,20.00,19.50,2,0,1,1,3,3,3
683,14,2,22,22,23,22,21.00,20.50,4,1,1,1,3,3,3
684,15,2,16,20,21,20,19.00,18.50,0,0,4,1,3,3,3
685,16,2,17,21,23,21,20.00,19.50,1,0,0,0,3,3,3
686,17,2,22,22,23,22,21.00,20.50,3,1,0,1,3,3,3
687,18,2,18,20,21,20,19.00,18.50,2,1,0,0,3,3,3
688,19,2,18,21,21,21,20.00,19.50,3,0,4,1,3,3,3
689,20,2,18,22,25,22,21.00,20.50,2,1,4,1,3,3,3
690,21,2,17,20,22,20,19.00,18.50,1,1,1,0,3,3,3
691,22,2,21,21,24,21,20.00,19.50,3,1,2,1,3,3,3
